DistrictName         NumberOfBranches     NumberOfEmployees    NumberOfCustomers   
North District       1                    2                    6                   
South District       1                    2                    5                   
Central District     1                    0                    0                   
Northwest District   0                    0                    0                   
Southeast District   0                    0                    0                   
Northeast District   0                    0                    0                   
Southwest District   0                    0                    0                   
Eastside District    0                    0                    0                   
Westside District    0                    0                    0                   
Uptown District      0                    0                    0                   
Downtown District    0                    0                    0                   
Midtown District     0                    0                    0                   
Riverside District   0                    0                    0                   
Lakeside District    0                    0                    0                   
Hilltop District     0                    0                    0                   
Valley District      0                    0                    0                   
Coastal District     0                    0                    0                   
